expected_stage,dataset,contamination,n_groups,mean_n_features,max_n_rows,max_n_devices,total_runtime_sec
agg_kkt_level,agg_kkt_47_11,0.01,11,61.36363636363637,34443,,252.38324236869812
agg_kkt_level,agg_kkt_47_11,0.03,11,61.36363636363637,34443,,249.50477719306946
agg_kkt_level,agg_kkt_47_11,0.05,11,61.36363636363637,34443,,247.43264818191528
agg_kkt_level,agg_kkt_47_19,0.01,11,61.36363636363637,15491,,122.78289794921875
agg_kkt_level,agg_kkt_47_19,0.03,11,61.36363636363637,15491,,123.77364373207092
agg_kkt_level,agg_kkt_47_19,0.05,11,61.36363636363637,15491,,131.1776340007782
ts_kkt_day_level,ts_kkt_47_11,0.01,7,35.714285714285715,3168756,34443.0,2530.6977200508118
ts_kkt_day_level,ts_kkt_47_11,0.03,7,35.714285714285715,3168756,34443.0,2348.339625120163
ts_kkt_day_level,ts_kkt_47_11,0.05,7,35.714285714285715,3168756,34443.0,2352.108238697052
ts_kkt_day_level,ts_kkt_47_19,0.01,7,35.714285714285715,1425172,15491.0,984.4029839038849
ts_kkt_day_level,ts_kkt_47_19,0.03,7,35.714285714285715,1425172,15491.0,977.8829998970032
ts_kkt_day_level,ts_kkt_47_19,0.05,7,35.714285714285715,1425172,15491.0,974.6170074939728
