file,exists,size_mb,path,read_ok,read_error,sample_rows,sample_cols,columns_preview,n_lines,n_chars,preview
all_kkt_anomaly_runs_summary.csv,True,0.053,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\summary\all_kkt_anomaly_runs_summary.csv,True,,5.0,19.0,"['json_file', 'status', 'stage', 'dataset', 'group', 'contamination', 'n_rows', 'n_devices', 'n_features', 'threshold', 'n_top_anomalies', 'n_top_anomaly_days', 'top_score', 'median_score', 'runtime_sec', 'ranked_csv', 'top_csv', 'device_csv', 'error']",109.0,,
ablation_feature_group_run_summary.csv,True,0.048,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\summary\ablation_feature_group_run_summary.csv,True,,5.0,19.0,"['json_file', 'status', 'stage', 'dataset', 'group', 'contamination', 'n_rows', 'n_devices', 'n_features', 'threshold', 'n_top_anomalies', 'n_top_anomaly_days', 'top_score', 'median_score', 'runtime_sec', 'ranked_csv', 'top_csv', 'device_csv', 'error']",85.0,,
all_top_agg_kkt_anomalies_raw.csv,True,25.376,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\summary\all_top_agg_kkt_anomalies_raw.csv,True,,5.0,172.0,"['avg_ecash__mean', 'avg_ecash__standard_deviation', 'avg_price_item__mean', 'avg_price_item__standard_deviation', 'avg_price_piece__mean', 'avg_price_piece__standard_deviation', 'avg_sum__mean', 'avg_sum__standard_deviation', 'avg_sum__skewness', 'avg_sum__ratio_beyond_r_sigma__r_2', 'avg_sum__ratio_beyond_r_sigma__r_3', 'ecash_bills_fraction__mean', 'ecash_bills_fraction__standard_deviation', 'ecash_bills_fraction__agg_linear_trend__attr_""slope""__chunk_len_7__f_agg_""mean""', 'ecash_bills_fraction__autocorrelation__lag_7', 'ecash_bills_fraction__ratio_beyond_r_sigma__r_2', 'ecash_fraction__mean', 'ecash_fraction__median', 'ecash_fraction__standard_deviation', 'ecash_fraction__skewness', 'ecash_fraction__maximum', 'ecash_fraction__minimum', 'ecash_fraction__longest_strike_above_mean', 'ecash_fraction__longest_strike_below_mean', 'ecash_fraction__count_above__t_0.99']",8079.0,,
final_agg_kkt_anomaly_ranking.csv,True,1.983,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\summary\final_agg_kkt_anomaly_ranking.csv,True,,5.0,15.0,"['kkt_id', 'trade_store_hash', 'trade_object_hash', 'okved2', 'region', 'type', 'category', 'n_appearances', 'best_score', 'mean_score', 'best_rank', 'explanation', 'source_files', 'final_kkt_anomaly_score', 'final_rank']",1249.0,,
all_top_ts_kkt_day_anomalies_raw.csv,True,19.91,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\summary\all_top_ts_kkt_day_anomalies_raw.csv,True,,5.0,34.0,"['kkt_id', 'date', 'trade_store_hash', 'trade_object_hash', '_row_id', '_source_dataset', 'total_sum', 'avg_sum', 'max_sum', 'min_sum', 'median_sum', 'total_cash', 'total_ecash', 'n_bills', 'n_items', 'total_items', 'ecash_fraction', 'avg_price_item', 'avg_price_piece', 'derived_sum_per_bill', 'derived_items_per_bill', 'derived_sum_per_item', 'derived_ecash_share', 'score_robust_z', 'score_pca_reconstruction']",21001.0,,
final_ts_kkt_day_anomaly_ranking.csv,True,8.055,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\summary\final_ts_kkt_day_anomaly_ranking.csv,True,,5.0,15.0,"['kkt_id', 'date', 'trade_store_hash', 'trade_object_hash', 'n_appearances', 'best_day_score', 'mean_day_score', 'total_sum', 'n_bills', 'total_ecash', 'ecash_fraction', 'explanation', 'source_files', 'final_day_anomaly_score', 'final_day_rank']",6792.0,,
final_ts_device_anomaly_ranking.csv,True,39.793,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\summary\final_ts_device_anomaly_ranking.csv,True,,5.0,9.0,"['kkt_id', 'ts_n_appearances', 'ts_best_device_score', 'ts_mean_device_score', 'ts_max_daily_score', 'ts_total_anomaly_days', 'ts_total_days', 'ts_source_files', 'ts_final_score']",49935.0,,
FINAL_COMBINED_KKT_ANOMALY_RANKING.csv,True,43.478,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\summary\FINAL_COMBINED_KKT_ANOMALY_RANKING.csv,True,,5.0,23.0,"['kkt_id', 'trade_store_hash', 'trade_object_hash', 'okved2', 'region', 'type', 'category', 'n_appearances', 'best_score', 'mean_score', 'best_rank', 'explanation', 'source_files', 'final_kkt_anomaly_score', 'final_rank', 'ts_n_appearances', 'ts_best_device_score', 'ts_mean_device_score', 'ts_max_daily_score', 'ts_total_anomaly_days', 'ts_total_days', 'ts_source_files', 'ts_final_score']",49935.0,,
topk_overlap_with_all_numeric.csv,True,0.018,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\summary\topk_overlap_with_all_numeric.csv,True,,5.0,11.0,"['stage', 'dataset', 'contamination', 'base_group', 'group', 'top_k', 'jaccard_with_all_numeric', 'intersection', 'base_size', 'group_size', 'top_csv']",85.0,,
KKT_ANOMALY_DETECTION_REPORT.txt,True,0.192,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\summary\KKT_ANOMALY_DETECTION_REPORT.txt,True,,,,,,200927.0,KKT Anomaly Detection Report ========================================================================================================================  Created: 2026-05-17 22:19:20 Data root: C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2 Output root: C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs  Selected datasets: - ts_kkt_47_11: C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\dataloader_time_series\ts_kkt_id_okved_47.11_region_77_impute_True.csv (1024.72 MB) - ts_kkt_47_19: C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_data\test_pipeline_2025_2\dataloader_time_series\ts_kkt_id_okved_47.19_region_77_impute_True.csv (451.60
