kkt_id,date,region,total_sum,avg_sum,std_sum,skew_sum,max_sum,min_sum,median_sum,total_cash,total_ecash,total_prepaid,total_credit,total_provision,n_bills,n_cash_bills,n_ecash_bills,n_items,total_items,n_taxation_types,okved2,okved_group,type,category,trade_store_hash,trade_object_hash
00079d6947ea9d8e7fb427f3d478c75e,2023-12-08,77,3.0,3.0,0.0,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1,1,0,1,1.0,1,47.11,47.11,1,2,xae21a1bb91486cf5214c453fa06fac72394c8b5c6b0e30867554862b730bd8f7,x4583ce7af75ad98b25c87d6e0d69807cbc0e7badee6d9f398fa267e3ae400fdd
00079d6947ea9d8e7fb427f3d478c75e,2023-12-15,77,33651.7,494.8779411764706,580.649919627488,3.059433913918433,3720.1,3.0,259.815,15732.5,17919.2,0.0,0.0,0.0,68,34,34,334,424.0,1,47.11,47.11,1,2,xae21a1bb91486cf5214c453fa06fac72394c8b5c6b0e30867554862b730bd8f7,x4583ce7af75ad98b25c87d6e0d69807cbc0e7badee6d9f398fa267e3ae400fdd
00079d6947ea9d8e7fb427f3d478c75e,2023-12-16,77,39556.65,648.4696721311475,758.3541353158906,1.939348848058977,3586.93,3.0,344.0,13281.0,26275.65,0.0,0.0,0.0,61,22,40,307,409.0,1,47.11,47.11,1,2,xae21a1bb91486cf5214c453fa06fac72394c8b5c6b0e30867554862b730bd8f7,x4583ce7af75ad98b25c87d6e0d69807cbc0e7badee6d9f398fa267e3ae400fdd
00079d6947ea9d8e7fb427f3d478c75e,2023-12-17,77,38251.82,579.5730303030304,546.6170659721753,1.535046657060907,2584.0,43.0,438.0,28986.5,9265.32,0.0,0.0,0.0,66,50,16,256,311.0,1,47.11,47.11,1,2,xae21a1bb91486cf5214c453fa06fac72394c8b5c6b0e30867554862b730bd8f7,x4583ce7af75ad98b25c87d6e0d69807cbc0e7badee6d9f398fa267e3ae400fdd
00079d6947ea9d8e7fb427f3d478c75e,2023-12-18,77,70028.43,457.7021568627451,549.1722788929702,4.017840095892332,4819.71,14.99,300.0,7017.0,63011.43,0.0,0.0,0.0,153,21,132,558,696.0,1,47.11,47.11,1,2,xae21a1bb91486cf5214c453fa06fac72394c8b5c6b0e30867554862b730bd8f7,x4583ce7af75ad98b25c87d6e0d69807cbc0e7badee6d9f398fa267e3ae400fdd
00079d6947ea9d8e7fb427f3d478c75e,2023-12-19,77,55.89,55.89,0.0,,55.89,55.89,55.89,0.0,55.89,0.0,0.0,0.0,1,0,1,1,1.0,1,47.11,47.11,1,2,xae21a1bb91486cf5214c453fa06fac72394c8b5c6b0e30867554862b730bd8f7,x4583ce7af75ad98b25c87d6e0d69807cbc0e7badee6d9f398fa267e3ae400fdd
00079d6947ea9d8e7fb427f3d478c75e,2023-12-20,77,19875.83,432.0832608695652,483.53840518328303,1.6772081767765532,1964.93,11.39,260.775,1218.0,18657.83,0.0,0.0,0.0,46,7,39,152,214.0,1,47.11,47.11,1,2,xae21a1bb91486cf5214c453fa06fac72394c8b5c6b0e30867554862b730bd8f7,x4583ce7af75ad98b25c87d6e0d69807cbc0e7badee6d9f398fa267e3ae400fdd
00079d6947ea9d8e7fb427f3d478c75e,2023-12-21,77,46426.4,546.1929411764705,626.0005155566821,3.1816871014950183,4398.25,3.0,326.96,4253.0,42173.4,0.0,0.0,0.0,85,14,71,331,422.0,1,47.11,47.11,1,2,xae21a1bb91486cf5214c453fa06fac72394c8b5c6b0e30867554862b730bd8f7,x4583ce7af75ad98b25c87d6e0d69807cbc0e7badee6d9f398fa267e3ae400fdd
00079d6947ea9d8e7fb427f3d478c75e,2023-12-22,77,50960.45,772.1280303030303,1019.4171688143148,2.4116026737581246,5259.71,14.0,340.915,4435.0,46525.45,0.0,0.0,0.0,66,9,57,265,399.0,1,47.11,47.11,1,2,xae21a1bb91486cf5214c453fa06fac72394c8b5c6b0e30867554862b730bd8f7,x4583ce7af75ad98b25c87d6e0d69807cbc0e7badee6d9f398fa267e3ae400fdd
00079d6947ea9d8e7fb427f3d478c75e,2023-12-23,77,55061.3,688.26625,817.1363702748381,2.6834363229318776,4987.1,3.99,365.73,2936.5,52124.8,0.0,0.0,0.0,80,5,75,307,375.0,1,47.11,47.11,1,2,xae21a1bb91486cf5214c453fa06fac72394c8b5c6b0e30867554862b730bd8f7,x4583ce7af75ad98b25c87d6e0d69807cbc0e7badee6d9f398fa267e3ae400fdd
